Entry,Accession,Biomass.Yield.dry.weight.2016,Biomass.Yield.dry.weight.2017,Biomass.Yield.dry.weight.2018
JY260,JY260,39,132,142.71
KMS380,KMS380,84,278,351.49
JY141,JY141,53,165,340.5
JY186,JY186,95,286,484.66
KMS329,KMS329,41,99,219.35
JY008,JY008,102,305,435.69
JM2014-H-21,JM2014-H-21,9,35,81.03
JY013,JY013,43,158,63.4
JY242,JY242,8,45,36.08
JPN-2010-007,JPN-2010-007,17,68,67.1
RU2012-181,RU2012-181,11,42,8.76
JY091,JY091,75,243,105.77
RU2012-049,RU2012-049,7,41,5.13
RU2012-034,RU2012-034,NA,NA,NA
RU2012-037,RU2012-037,6,35,2.6
JY201,JY201,19,71,191.68
KMS389,KMS389,14,51,47.39
JM2014-K-7,JM2014-K-7,23,76,521.01
RU2012-082,RU2012-082,21,78,147.28
RU2012-121,RU2012-121,47,163,159.73
JY128,JY128,22,74,89.45
JY006,JY006,18,75,27.37
JM2014-H-5,JM2014-H-5,89,211,257.92
KMS264,KMS264,46,148,150.78
JY154,JY154,23,81,204.78
JY158,JY158,17,62,74.67
KMS415,KMS415,52,168,349.26
RU2012-215,RU2012-215,8,36,34.77
JPN-2011-013,JPN-2011-013,NA,NA,NA
RU2012-023,RU2012-023,18,84,29.64
JM2014-H-24,JM2014-H-24,72,251,190.53
KMS309,KMS309,9,35,97.52
JY030,JY030,53,154,112.09
JM11-027-2,JM11-027-2,28,72,45.48
JY253,JY253,10,45,52.8
JY024,JY024,97,302,358.36
JY069,JY069,8,35,9.28
KMS356,KMS356,17,61,77.08
JY149,JY149,84,256,502.29
JM2014-H-10,JM2014-H-10,51,148,195.88
JM2014-S-2,JM2014-S-2,127,405,1935.97
JM11-037,JM11-037,99,283,316.82
KMS342,KMS342,114,389,742.43
KMS441,KMS441,48,152,475.09
UI11-00036,UI11-00036,89,204,181.43
JPN-2010-013,JPN-2010-013,95,289,262.95
RU2012-188,RU2012-188,47,145,190.86
PMS-076,PMS-076,16,47,143.88
JY283,JY283,18,68,153.82
JM11-013,JM11-013,24,89,436.39
RU2012-083,RU2012-083,52,168,254.16
JY214,JY214,19,65,86.52
RU2012-125,RU2012-125,25,91,201.18
JY196,JY196,48,168,119.13
JM2014-H-54,JM2014-H-54,14,52,20.45
RU2012-045,RU2012-045,23,71,25.65
RU2012-078,RU2012-078,51,175,71.9
KMS316,KMS316,22,86,182.78
RU2012-151,RU2012-151,18,69,122.93
RU2012-179,RU2012-179,96,295,126.87
JM2014-H-78,JM2014-H-78,53,168,225.84
JY291,JY291,43,125,23.82
KMS420,KMS420,9,40,381.65
RU2012-113,RU2012-113,8,42,84.57
JY129,JY129,41,141,343.5
UI11-00032,UI11-00032,48,145,196.23
JY116,JY116,11,48,73.73
RU2012-027,RU2012-027,8,45,12.98
JY156,JY156,55,141,446.23
JY247,JY247,81,258,379.64
JY120,JY120,26,74,159.02
JY152,JY152,97,302,443.69
JY114,JY114,108,316,382.14
JY220,JY220,60,175,161.54
RU2012-064,RU2012-064,14,58,41.94
JM2014-M-9,JM2014-M-9,83,265,132.52
RU2012-056.1WD (4x),RU2012-056.1WD (4x),94,278,415.29
JY105,JY105,53,171,83.82
JY187,JY187,23,79,75.5
JY056,JY056,9,35,76.98
JM2014-H-8,JM2014-H-8,11,41,173.92
JY257,JY257,25,73,50.99
RU2012-207,RU2012-207,56,171,202.13
JMTomato(N24),JMTomato(N24),42,111,274.73
JY302,JY302,57,205,199.67
KMS315,KMS315,8,51,26.92
KMS413,KMS413,49,160,518.38
JMKamisho(N24),JMKamisho(N24),15,52,33.07
JY095,JY095,101,345,138.27
KMS328,KMS328,52,169,220.4
JY179,JY179,77,258,647.42
JM2014-S-4,JM2014-S-4,84,584,1674.67
JY025,JY025,16,54,183.54
JY143,JY143,91,276,555.51
JY238,JY238,22,68,164.81
RU2012-055,RU2012-055,14,75,4.32
JM2014-M-4,JM2014-M-4,117,384,333.2
JM2014-M-7,JM2014-M-7,128,380,303.05
JY225,JY225,13,49,178.25
JY118-1,JY118-1,59,204,154.48
JPN-2011-014,JPN-2011-014,98,318,268.89
RU2012-091,RU2012-091,9,54,8.49
JY109,JY109,42,120,138.82
KMS371,KMS371,19,67,67.27
KMS387,KMS387,88,250,250.55
RU2012-212,RU2012-212,17,65,169.27
JY190,JY190,52,174,174.33
KMS340,KMS340,49,151,488.7
JM2014-H-23,JM2014-H-23,23,56,222.9
RU2012-132,RU2012-132,25,74,265.59
KMS386,KMS386,49,161,99.5
JY032,JY032,52,154,8.1
JY285,JY285,41,118,160.44
JM2014-H-42,JM2014-H-42,58,185,202.98
KMS366,KMS366,96,290,1342.42
JY294,JY294,14,45,38.88
JY195,JY195,42,121,130.24
KMS310,KMS310,41,133,162.25
JPN-2010-005,JPN-2010-005,53,178,519.65
JY093,JY093,8,36,74.26
KMS414,KMS414,41,128,231.38
JM2014-H-18,JM2014-H-18,22,67,148.08
JY282,JY282,53,154,189.01
RU2012-153,RU2012-153,18,85,276.11
RU2012-183,RU2012-183,54,175,238.01
JY100,JY100,12,51,NA
JY273,JY273,55,163,153.28
RU2012-184,RU2012-184,46,157,346.08
JY138,JY138,106,345,472.02
RU2012-202,RU2012-202,19,60,193.46
KMS454,KMS454,67,215,368.92
JPN-2011-022,JPN-2011-022,16,47,406.82
JY072,JY072,99,280,568.02
JPN-2011-006,JPN-2011-006,14,58,152.85
KMS410,KMS410,133,425,597.41
JY096,JY096,111,312,76.9
KMS427,KMS427,126,345,814.61
KMS468,KMS468,51,187,167.94
RU2012-036,RU2012-036,12,65,4.33
RU2012-018,RU2012-018,14,57,36.85
RU2012-140,RU2012-140,9,46,15.55
JY194,JY194,45,145,233.94
JM2014-S-3,JM2014-S-3,89,251,1078.43
JM2014-H-46,JM2014-H-46,52,185,519.89
KMS392,KMS392,19,67,266.08
JY228,JY228,22,67,251.32
KMS335,KMS335,48,156,407.54
KMS276,KMS276,46,148,242.08
KMS464,KMS464,51,151,384.4
JY203,JY203,19,60,73.15
KMS437,KMS437,57,191,594.6
JY301,JY301,14,60,113.23
RU2012-196,RU2012-196,14,60,61.85
KMS347,KMS347,66,205,248.96
RU2012-020,RU2012-020,16,61,24.23
UI11-00033,UI11-00033,51,174,238.35
KMS332,KMS332,23,68,293.59
RU2012-174,RU2012-174,25,85,335.68
RU2012-149,RU2012-149,18,85,135.83
KMS326,KMS326,16,71,203.36
JM2014-H-63,JM2014-H-63,8,35,18.86
JY018,JY018,25,65,63.5
JM2014-H-52,JM2014-H-52,17,85,149.47
KMS379,KMS379,6,35,19.81
JY146,JY146,42,148,158.15
JY264,JY264,54,171,123.63
JY015,JY015,46,134,391.98
KMS382,KMS382,98,324,368.72
RU2012-130,RU2012-130,41,145,185.25
JM11-040,JM11-040,15,40,291.24
JM11-006,JM11-006,47,145,827.98
JM2014-H-69,JM2014-H-69,46,116,246.88
KMS331,KMS331,114,375,1474.08
RU2012-031,RU2012-031,NA,NA,12.31
JY136,JY136,9,65,18.85
JM2014-H-13,JM2014-H-13,15,65,253.55
JY147,JY147,19,32,52.03
RU2012-154,RU2012-154,16,71,158.97
JY044,JY044,64,238,222.26
JY249,JY249,22,65,144.64
JY284,JY284,24,89,250.09
JY163,JY163,18,71,135.72
KMS278,KMS278,26,98,95.5
JY107,JY107,48,168,277.67
RU2012-046,RU2012-046,10,31,51.47
JY155,JY155,44,129,184.74
RU2012-170,RU2012-170,19,85,120.26
KMS378,KMS378,97,315,450.7
JM2014-H-66,JM2014-H-66,52,149,212.41
KMS253,KMS253,47,185,242.66
KMS369,KMS369,17,65,78.06
KMS447,KMS447,55,184,535.85
JM2014-K-2,JM2014-K-2,48,129,363.56
KMS263,KMS263,41,157,139.59
KMS419,KMS419,87,289,722.24
JM2014-H-45,JM2014-H-45,19,65,171.81
KMS376,KMS376,23,51,157.53
JY221,JY221,24,50,142.52
KMS438,KMS438,51,169,279.62
JY102,JY102,101,354,168.98
RU2012-035,RU2012-035,NA,NA,8.49
JY108,JY108,9,30,75.53
JY272,JY272,15,46,118.71
JY263,JY263,16,75,43.88
