,Planting date year 1,Last autumn dormancy year 1,First spring emergence year 2,Last autumn dormancy year 2,First spring emergence year 3,Last autumn dormancy year 3,First spring emergence year 4,Last autumn dormancy year 4
HU,2012-07-19,2012-11-16,2013-04-18,2013-11-04,2014-03-29,2014-11-28,2015-04-15,2015-11-16
NEF,2012-07-18,2012-11-19,2013-04-17,2013-11-12,2014-04-23,2014-10-30,,
CSU,2012-07-16,2012-10-07,2013-04-11,2013-10-16,2014-04-18,2014-10-20,,
UI 2012,2012-07-09,2012-11-12,2013-04-12,2013-10-25,2014-04-21,2014-10-30,,
UI 2013,2013-05-07,2013-10-25,2014-04-21,2014-10-30,,,,
KNU,2012-07-19,2012-11-13,2013-04-16,2013-11-12,2014-03-26,2014-11-09,2015-04-10,2015-11-07
ZJU,2013-03-25,2013-12-12,2014-03-23,2014-12-15,2015-03-02,2015-12-08,,
